Structure [idcode]	Molecule Name	MolRegNo	m	Value	Unit	Type	Ligand Efficiency	Binding Efficiency	Surface Efficiency	Assay Index	Assay Category	Assay Organism	Target ID	Target Name	Target Organism	Target Description	Sequence Accession	Reference	Pubmed ID	DOI	InChI-Key	Molecular Formula	Monoisotopic Mass	Druglikeness	
fbmIP@LF]DDeZSdbbbbRTUVVIRs`qjjjhDBjBPbHRTP@	Compound 547	386741	>	3.0e5	nM	IC50				287336		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. Lett. 17 (9), 2470-2473 (2007)	17336519	10.1016/j.bmcl.2007.02.026	UQQHOWKTDKKTHO-LEIICMHDSA-N	C11H14N4O5	282.096421	-0.8007	
eghRDL@NKDfeJ`HbHHnbLbbbTVQTRTvTrbRsDbf`RVqtDCDpAEM@AD@@@	Compound 548	349608	=	6.6069e13	nM	IC50				262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	UQVHELVNDYDRGX-UHFFFAOYSA-N	C21H14N4O2Cl2S	456.021450	3.3019	
eghRDL@NKDfeJ`HbHHnbLbbbTVQTRTvTrbRsDbf`RVqtDCDpAEM@AD@@@	Compound 549	349608	=	15000	nM	IC50	0.22	10.55	5.96	262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	UQVHELVNDYDRGX-UHFFFAOYSA-N	C21H14N4O2Cl2S	456.021450	3.3019	
fcPP@DD@xm\bbbfbRVbfRflRQFVbgJ}mUHTDqSP@H`HLP	Compound 550	2087896	>	50000	nM	IC50				1017144		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. 24 (13), 3035-3042 (2016)	27240464	10.1016/j.bmc.2016.05.013	UQWUDRZSFFOCJP-UHFFFAOYSA-N	C22H16N2O4	372.111008	5.2822	
eodTLB@LFIGL`@cRPVdGiCIEDeDeEicMEehhmlJK@jfckjj`ZA`HBB@hBBB`@	Compound 551	453135	<=	50	%	Inhibition				406904		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 18 (23), 6110-6114 (2008)	18947995	10.1016/j.bmcl.2008.10.023	UTHJWIWNDNWLSF-UHFFFAOYSA-N	C22H15N2O3F3S	444.075547	2.5905	
fi{qA@FZ|x@PhHrQQJEJ[JYQIYPeIZKViPBJZ@Bj@@@	Compound 552	349260	=	2.4547e13	nM	IC50				262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	UUBHDKPSKIQBFE-UHFFFAOYSA-N	C19H19N3OS2	369.096952	2.9685	
fi{qA@FZ|x@PhHrQQJEJ[JYQIYPeIZKViPBJZ@Bj@@@	Compound 553	349260	=	40000	nM	IC50	0.24	11.90	8.01	262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	UUBHDKPSKIQBFE-UHFFFAOYSA-N	C19H19N3OS2	369.096952	2.9685	
fnsQ@@D^AdTRbbbTvTQbNgIsUkTED@P@@A@e@@	Compound 554	563857	=	14500	nM	EC50				752068		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 56 (2), 534-546 (2013)	23231439	10.1021/jm301580n	UVERBUNNCOKGNZ-AWEZNQCLSA-N	C20H20N2O	304.157563	2.4531	
fnsQ@@D^AdTRbbbTvTQbNgIsUkTED@P@@A@e@@	Compound 555	563857	=	13100	nM	EC50				425462		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 52 (16), 5228-5240 (2009)	19645480	10.1021/jm900611t	UVERBUNNCOKGNZ-AWEZNQCLSA-N	C20H20N2O	304.157563	2.4531	
fhipP@DDx@w`iMr{KNlyjsTmTuUVAIRm@@	Compound 556	337909	>	1.0e5	nM	EC50				256629		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 49 (3), 1140-1148 (2006)	16451078	10.1021/jm0509750	VALRMFJWTJYQMZ-VGMNWLOBSA-N	C10H13N3O4	239.090607	3.1146	
fhipP@DDx@w`iMr{KNlyjsTmTuUVAIRm@@	Compound 557	337909	>	1.0e5	nM	IC50				256635		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 49 (3), 1140-1148 (2006)	16451078	10.1021/jm0509750	VALRMFJWTJYQMZ-VGMNWLOBSA-N	C10H13N3O4	239.090607	3.1146	
fhipP@DDx@w`iMr{KNlyjsTmTuUVAIRm@@	Compound 558	337909	=	0	-	Selectivity index				256641		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 49 (3), 1140-1148 (2006)	16451078	10.1021/jm0509750	VALRMFJWTJYQMZ-VGMNWLOBSA-N	C10H13N3O4	239.090607	3.1146	
dk]HPLU`BIBLdTVaTRrmNfVijP@	Compound 559	356374	=	40000	nM	IC50	0.46	20.91	10.26	266027		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (17), 5154-5161 (2006)	16913704	10.1021/jm060207o	VBVUGCQFVIKNDM-UHFFFAOYSA-N	C8H6N2OS2	209.992153	2.4525	
ffs`a@I\tBH\DYEEDhhTUDddfJEHLRu``ZFih@H@@@	Compound 560	317002	=	11200	nM	IC50	0.31	15.10	13.24	238671		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (12), 3058-3062 (2005)	15896959	10.1016/j.bmcl.2005.04.027	VCHRPHJPXICPGC-UHFFFAOYSA-N	C17H10NO2ClS	327.012076	1.2951	
fcQ@@DFAdTRbRTVRVffbTQdYp^cWmjjhHHh@@B@az`@	Compound 561	1732307	>	50000	nM	EC50				843084		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 57 (6), 2393-2412 (2014)	24568342	10.1021/jm401712t	VEGNLUSKEVURKQ-IBGZPJMESA-N	C25H28N2O	372.220163	6.7654	
fk`p@J@PkSoILm|sl{Jl{tXv^smUUMSTD@@DDNH@	Compound 562	333629	=	28	%	Inhibition				254531		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (24), 5365-5369 (2005)	16216498	10.1016/j.bmcl.2005.09.012	VEQLIWRZBIPKMI-HGCBZUSOSA-N	C22H23NO6	397.152539	-0.36077	
few`P@@`|N^QQQQIISZUQIYPcIVtzkV`XJbZ@BZH@@	Compound 563	339147	=	25	%	Inhibition				257471		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. Lett. 16 (4), 830-833 (2006)	16325400	10.1016/j.bmcl.2005.11.018	VGALQRWFZYLFOD-UHFFFAOYSA-N	C21H17NO4	347.115759	-3.0376	
fi{p``LDyRP@atazPCHYHhheideHfeDepQk]GSMTuUW@@h@@	Compound 564	356447	=	3000	nM	IC50	0.30	15.20	7.69	266027		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (17), 5154-5161 (2006)	16913704	10.1021/jm060207o	VNGWUVBXUIDQTK-UHFFFAOYSA-N	C16H8N3O2F3S	363.028931	-13.646	
ff}AP@@HIrrS]mrm{Jf\VkTs@DT@@@`R@	Compound 565	478458	>	50000	nM	IC50				414789		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 19 (6), 1636-1638 (2009)	19233643	10.1016/j.bmcl.2009.02.010	VRKCLIARHIPPNE-UHFFFAOYSA-N	C17H14O5	298.084125	0.9175	
ff}AP@@HIrrS]mrm{Jf\VkTs@DT@@@`R@	Compound 566	478458	>	50000	nM	IC50				414790		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 19 (6), 1636-1638 (2009)	19233643	10.1016/j.bmcl.2009.02.010	VRKCLIARHIPPNE-UHFFFAOYSA-N	C17H14O5	298.084125	0.9175	
ek`THH@A@e@ICHhdldihdlhiheDZFO@aimch@Jfjjh@@@``bh@@	Compound 567	1732321	=	11600	nM	EC50				843084		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 57 (6), 2393-2412 (2014)	24568342	10.1021/jm401712t	VTAUBQMDNJOEAK-SFHVURJKSA-N	C25H27N2OF	390.210741	5.4254	
foAQA@NRX@H]HYHheJhdlRakUJt@E@@@	Compound 568	371816	<	10	%	Inhibition				278390		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 50 (8), 1850-1864 (2007)	17381079	10.1021/jm061425k	VTZNBWPAAXJPTQ-UHFFFAOYSA-N	C10H7N2OFS	222.026311	1.9428	
fbu@`@@JRYegeuuYHshH@HHjT@@@	Compound 569	304777		0		Activity				294025		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	VVOAZFWZEDHOOU-UHFFFAOYSA-N	C18H18O2	266.130680	-4.9267	
fbu@`@@JRYegeuuYHshH@HHjT@@@	Compound 570	304777	=	3800	nM	EC50				294026		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	VVOAZFWZEDHOOU-UHFFFAOYSA-N	C18H18O2	266.130680	-4.9267	
fbu@`@@JRYegeuuYHshH@HHjT@@@	Compound 571	304777	=	50	%	Inhibition				294024		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	VVOAZFWZEDHOOU-UHFFFAOYSA-N	C18H18O2	266.130680	-4.9267	
fbu@`@@JRYegeuuYHshH@HHjT@@@	Compound 572	304777	<	25	%	Inhibition				294022		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	VVOAZFWZEDHOOU-UHFFFAOYSA-N	C18H18O2	266.130680	-4.9267	
fbu@`@@JRYegeuuYHshH@HHjT@@@	Compound 573	304777	<	25	%	Inhibition				294023		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	VVOAZFWZEDHOOU-UHFFFAOYSA-N	C18H18O2	266.130680	-4.9267	
eohZJHDLBILcaEAkg`@`zWnRfUYgvYU^{cRj[iZ``ZJ`C@HJX@@@	Compound 574	348922	=	3.3113e12	nM	IC50				262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	VZQGOJYNWVCAKC-UHFFFAOYSA-N	C20H15N5O5S	437.079390	-7.8995	
eohZJHDLBILcaEAkg`@`zWnRfUYgvYU^{cRj[iZ``ZJ`C@HJX@@@	Compound 575	348922	=	3.0e5	nM	IC50				262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	VZQGOJYNWVCAKC-UHFFFAOYSA-N	C20H15N5O5S	437.079390	-7.8995	
fbmIb@BLeYt\`qLbbbTTLrbJsE\exLDEQUUTLPQFjODAH@@	Compound 576	1354925		0		Activity				663878		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. Lett. 22 (16), 5182-5184 (2012)	22795626	10.1016/j.bmcl.2012.06.075	WCQHGFZOJHBINT-FODUQWCDSA-N	C12H15N4O3Br	342.032752	-3.1083	
eiURN@@DAOM`CHdf`X\bbTJbRbtTRrbbtjbeRbRHhyEZjjejfjZjjfh@HHpgBlgT`T`	Compound 577	356122	=	660	nM	Ki	0.21	10.79	4.07	265844		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (16), 4971-4980 (2006)	16884309	10.1021/jm0603926	WDMSWWUPIMEGNZ-UHCVVMIDSA-N	C30H44N4O7	572.321001	-21.386	
fi{qA`EN|DDQrPdDMdNr@yCHhheEJihdmEiFBuYNXBHjhDBjbHTh@@	Compound 578	379279	<=	50	%	Inhibition				406904		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 18 (23), 6110-6114 (2008)	18947995	10.1016/j.bmcl.2008.10.023	WFEAKLOOJIOHQY-UHFFFAOYSA-N	C15H10N3OClF4S	391.016921	-4.4033	
eohTL@@LD`DHlbbRdUbRfTJbfbTQl\Vvn^Zjj@Bfj@@@@`rh@@	Compound 579	562198		0		EC50				425462		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 52 (16), 5228-5240 (2009)	19645480	10.1021/jm900611t	WFKRNMAWGCVMCU-SFHVURJKSA-N	C26H30N2O3	418.225643	-46.955	
ffsab@EBtxEXdrmsnrjmNRTFIZpACSTt@D@@@	Compound 580	316223	=	13	%	Inhibition				240611		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (12), 3058-3062 (2005)	15896959	10.1016/j.bmcl.2005.04.027	WGQCKGKLMRHSEQ-UHFFFAOYSA-N	C17H10NO3I	402.970542	0.68504	
fjm`abAN|CDaDXBMAE`bHPCmS`RbRtRVTabUFJudmMTuRttj@@	Compound 581	356372	=	18000	nM	IC50	0.32	13.07	9.50	266027		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (17), 5154-5161 (2006)	16913704	10.1021/jm060207o	WOMURSKAGGPFQJ-UHFFFAOYSA-M	Br.C12H9NO2ClS4	361.920461	-0.7535	
eodTD@@DG@KLbbTTRTRrRQffbTQT\BrVvn^Zjj`hJJ@@@`DBJDj@@	Compound 582	1732311	=	11700	nM	EC50				843084		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 57 (6), 2393-2412 (2014)	24568342	10.1021/jm401712t	WOZLZEADGGHBFH-FNZWTVRRSA-N	C27H32N2O2	416.246378	6.7539	
gOyHLpDIR{cRs@@	Compound 583	371757	=	36	%	Inhibition				278390		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 50 (8), 1850-1864 (2007)	17381079	10.1021/jm061425k	WRFKSVINLIQRKF-UHFFFAOYSA-N	C4H3NOS	112.993534	-1.6797	
e`\RHJ@NKGCi@HcPHjBF`cXHrJIKISIQISSQSHqKTLAIU]WOP@Tu@DMSUMPR@@@	Compound 584	348390	=	8.9125e13	nM	IC50				262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	WRXXISITJDZVCL-UHFFFAOYSA-N	C22H19N4OClS4	518.013018	3.7138	
e`\RHJ@NKGCi@HcPHjBF`cXHrJIKISIQISSQSHqKTLAIU]WOP@Tu@DMSUMPR@@@	Compound 585	348390	=	11000	nM	IC50	0.21	9.55	7.32	262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	WRXXISITJDZVCL-UHFFFAOYSA-N	C22H19N4OClS4	518.013018	3.7138	
foA`b@MLx@HrQQJUQQHeKNjUhBB@@@	Compound 586	371848	<	10	%	Inhibition				278390		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 50 (8), 1850-1864 (2007)	17381079	10.1021/jm061425k	WYFUZAKGLVUYMT-UHFFFAOYSA-N	C11H9NO2S	219.035399	1.7228	
eiUTEH@O@hDIemckgo`P@cIICEDdelddeEEEEED]ddeKCGEh@@@iiZjYfjjh@D@hj@	Compound 587	356446	=	32000	nM	IC50	0.15	7.64	2.69	266027		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (17), 5154-5161 (2006)	16913704	10.1021/jm060207o	XBRUKZHFEJRAEI-UHFFFAOYSA-N	C28H32N2O10S	588.177768	-18.207	
e`R\HL@LEMI@@`rP\dLdTRTRbbfVLVfbRRvEGbTQVsuwuUPHQ@DP@@A@DDE@@	Compound 588	379295	<=	50	%	Inhibition				406904		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 18 (23), 6110-6114 (2008)	18947995	10.1016/j.bmcl.2008.10.023	XDUQUVICUMADHK-UHFFFAOYSA-N	C25H17N3OF2S	445.106038	1.4724	
fnk@P@@LlwHhhhhiddeCH~BTztPyZAhJbfjdjGj@@	Compound 589	358740	=	52000	nM	IC50	0.25	13.80	6.35	678193		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	XDUXBBDRILEIEZ-UHFFFAOYSA-N	C19H18O4	310.120510	-12.76	
fnk@P@@LlwHhhhhiddeCH~BTztPyZAhJbfjdjGj@@	Compound 590	358740	=	24800	nM	IC50	0.27	14.84	6.82	678191		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	XDUXBBDRILEIEZ-UHFFFAOYSA-N	C19H18O4	310.120510	-12.76	
fnk@P@@LlwHhhhhiddeCH~BTztPyZAhJbfjdjGj@@	Compound 591	358740	=	18000	nM	IC50	0.28	15.29	7.03	678310		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	XDUXBBDRILEIEZ-UHFFFAOYSA-N	C19H18O4	310.120510	-12.76	
fnk@P@@LlwHhhhhiddeCH~BTztPyZAhJbfjdjGj@@	Compound 592	358740	=	10700	nM	IC50	0.30	16.02	7.36	678190		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	XDUXBBDRILEIEZ-UHFFFAOYSA-N	C19H18O4	310.120510	-12.76	
fnk@P@@LlwHhhhhiddeCH~BTztPyZAhJbfjdjGj@@	Compound 593	358740		0		Inhibition				678307		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	XDUXBBDRILEIEZ-UHFFFAOYSA-N	C19H18O4	310.120510	-12.76	
fnk@P@@LlwHhhhhiddeCH~BTztPyZAhJbfjdjGj@@	Compound 594	358740		0		Inhibition				678308		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	XDUXBBDRILEIEZ-UHFFFAOYSA-N	C19H18O4	310.120510	-12.76	
fnk@P@@LlwHhhhhiddeCH~BTztPyZAhJbfjdjGj@@	Compound 595	358740		0		Inhibition				678309		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	XDUXBBDRILEIEZ-UHFFFAOYSA-N	C19H18O4	310.120510	-12.76	
fnk@P@@LlwHhhhhiddeCH~BTztPyZAhJbfjdjGj@@	Compound 596	358740		0		Inhibition				678312		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	XDUXBBDRILEIEZ-UHFFFAOYSA-N	C19H18O4	310.120510	-12.76	
fnk@P@@LlwHhhhhiddeCH~BTztPyZAhJbfjdjGj@@	Compound 597	358740		0		Inhibition				678313		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	XDUXBBDRILEIEZ-UHFFFAOYSA-N	C19H18O4	310.120510	-12.76	
fnk@P@@LlwHhhhhiddeCH~BTztPyZAhJbfjdjGj@@	Compound 598	358740		0		Inhibition				678191		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	XDUXBBDRILEIEZ-UHFFFAOYSA-N	C19H18O4	310.120510	-12.76	
fnk@P@@LlwHhhhhiddeCH~BTztPyZAhJbfjdjGj@@	Compound 599	358740	=	21600	nM	Ki	0.28	15.03	6.91	678192		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	XDUXBBDRILEIEZ-UHFFFAOYSA-N	C19H18O4	310.120510	-12.76	
fmoQRBCEe{OQ`BBrOldTTRTqtTTrbtUppV`i[N`dFJfA`Xh`@@	Compound 600	317405	=	40	%	Inhibition				240686		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (12), 3058-3062 (2005)	15896959	10.1016/j.bmcl.2005.04.027	XEVFUFOADRVCGQ-UHFFFAOYSA-N	C19H12N2O5S	380.046693	-3.2849	
fluHR@DTyKShiADYEDhdbheEds`iV}@PMUUTTQRLkSt@@	Compound 601	386739		0		Activity				287339		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. Lett. 17 (9), 2470-2473 (2007)	17336519	10.1016/j.bmcl.2007.02.026	XHRJGHCQQPETRH-FCIPNVEPSA-N	C10H11N4O4Cl	286.046883	-0.84572	
fluHR@DTyKShiADYEDhdbheEds`iV}@PMUUTTQRLkSt@@	Compound 602	386739	=	48700	nM	IC50				287336		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. Lett. 17 (9), 2470-2473 (2007)	17336519	10.1016/j.bmcl.2007.02.026	XHRJGHCQQPETRH-FCIPNVEPSA-N	C10H11N4O4Cl	286.046883	-0.84572	
fj}HP@ANrTFcVrQRJJIIJIkJcOASfjjejjZiRPhPQPae@@	Compound 603	1334476	=	14000	nM	EC50				648311		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. Lett. 22 (8), 2705-2707 (2012)	22446091	10.1016/j.bmcl.2012.02.105	XIBLCLHWSMWYFL-BQUSMCMVSA-N	C13H16N4O4	292.117156	-3.4861	
ek`THH@A@e@ICHhdhTihdlhiheDZFO@aimch@Jfjjh@@@``bh@@	Compound 604	1732322	=	5400	nM	EC50				843084		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 57 (6), 2393-2412 (2014)	24568342	10.1021/jm401712t	XJTWGMHOQKGBDO-SFHVURJKSA-N	C25H27N2OF	390.210741	5.4254	
edVTBH@NAMBo`PIAIe]egYUg_fVZFECLfnaghX@JeiBBRhHFBD@`lP	Compound 605	2087898	=	37500	nM	IC50	0.18	9.78	5.33	1017144		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. 24 (13), 3035-3042 (2016)	27240464	10.1016/j.bmc.2016.05.013	XKQCHIXXQNMHLJ-UHFFFAOYSA-N	C27H17N2O4F	452.117236	3.6303	
f`qab@BBTXFHdrkk\mFN}@ATttH@@	Compound 606	371870	=	90	%	Inhibition				278390		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 50 (8), 1850-1864 (2007)	17381079	10.1021/jm061425k	XKZSSKBZDLVNEB-UHFFFAOYSA-N	C11H8NO3Br	280.968755	-2.1952	
fi{`P@D@hkVQQJJYQEQIJKKTXfoQmUUMPP@@PXpbQb@@	Compound 607	333653	<	10	%	Inhibition				254534		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (24), 5365-5369 (2005)	16216498	10.1016/j.bmcl.2005.09.012	XRLMLBLLFRZQEE-BMGDILEWSA-N	C20H21NO4	339.147059	4.6243	
fi{`P@D@hkVQQJJYQEQIJKKTXfoQmUUMPP@@PXpbIb@@	Compound 608	333652	=	15	%	Inhibition				254531		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (24), 5365-5369 (2005)	16216498	10.1016/j.bmcl.2005.09.012	XRLMLBLLFRZQEE-JCGIZDLHSA-N	C20H21NO4	339.147059	4.6243	
fi{`P@D@hkVQQJJYQEQIJKKTXfoQmUUMPP@@PXqBId@@	Compound 609	333659	=	28	%	Inhibition				254531		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (24), 5365-5369 (2005)	16216498	10.1016/j.bmcl.2005.09.012	XRLMLBLLFRZQEE-JLSDUUJJSA-N	C20H21NO4	339.147059	4.6243	
